id,type,name,latitude_deg,longitude_deg,elevation_ft,local_code,home_link,score
3632,large_airport,Los Angeles International Airport,33.94250107,-118.4079971,125,LAX,http://www.iflylax.com/,1335475
3622,large_airport,John F Kennedy International Airport,40.63980103,-73.77890015,13,JFK,http://www.panynj.gov/CommutingTravel/airports/html/kennedy.html,1052075
3754,large_airport,Chicago O'Hare International Airport,41.97859955,-87.90480042,672,ORD,http://www.flychicago.com/ohare/en/home/Pages/default.aspx,1503175
3384,large_airport,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,1026,ATL,http://www.atlanta-airport.com/,2002475
3878,large_airport,San Francisco International Airport,37.61899948,-122.375,13,SFO,http://www.flysfo.com/,1112475
3521,large_airport,Newark Liberty International Airport,40.69250107,-74.16870117,18,EWR,http://www.panynj.gov/CommutingTravel/airports/html/newarkliberty.html,1064475
3631,large_airport,McCarran International Airport,36.08010101,-115.1520004,2181,LAS,http://www.mccarran.com/,1068475
3488,large_airport,Dallas Fort Worth International Airport,32.89680099,-97.03800201,607,DFW,http://www.dfwairport.com/,1203175
3670,large_airport,Orlando International Airport,28.42939949,-81.30899811,96,MCO,http://www.orlandoairports.net/,1044075
3486,large_airport,Denver International Airport,39.86169815,-104.6729965,5431,DEN,http://www.flydenver.com/,1103275
3685,large_airport,Miami International Airport,25.79319954,-80.29060364,8,MIA,http://www.miami-airport.com/,1073075
3643,large_airport,La Guardia Airport,40.77719879,-73.87259674,21,LGA,http://www.panynj.gov/CommutingTravel/airports/html/laguardia.html,1030575
3602,large_airport,Washington Dulles International Airport,38.94449997,-77.45580292,312,IAD,http://www.mwaa.com/dulles/,1023875
3875,large_airport,Seattle Tacoma International Airport,47.44900131,-122.3089981,433,SEA,http://www.portseattle.org/seatac/,1038675
3772,large_airport,Phoenix Sky Harbor International Airport,33.43429947,-112.012001,1135,PHX,http://phoenix.gov/skyharborairport/,1060875
3422,large_airport,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,20,BOS,http://www.massport.com/logan/,1035875
3771,large_airport,Philadelphia International Airport,39.87189865,-75.2410965,36,PHL,http://www.phl.org/,1031075
3604,large_airport,George Bush Intercontinental Houston Airport,29.9843998,-95.34140015,97,IAH,http://www.fly2houston.com/iah,1055675
3457,large_airport,Charlotte Douglas International Airport,35.2140007,-80.94309998,748,CLT,http://www.charlotteairport.com/,1028075
3483,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,15,DCA,http://www.flyreagan.com/dca/reagan-national-airport,1016175
3497,large_airport,Detroit Metropolitan Wayne County Airport,42.21239853,-83.35340118,645,DTW,http://www.metroairport.com/,1079375
3709,large_airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,44.88199997,-93.22180176,841,MSP,http://www.mspairport.com/,1085275
3862,large_airport,San Diego International Airport,32.73360062,-117.1900024,17,SAN,http://www.san.org/,1017175
